FID,INSPIREID,COUNTRY,NATLEVNAME,NATCODE,NAMEUNIT,CODNUT1,CODNUT2,CODNUT3,COD_INE,COD_PROV,NOM_ETIQ,HABITANTES,DENSIDAD,SUP_KM2,CP,SHAPE_Length,SHAPE_Area
1,ES.IGN.SIGLIM34081616096,ES,Municipio,34081616096,Graja de Iniesta,ES4,ES42,ES423,16096,16,Graja de Iniesta,365,12.94,28.199734,16251,29038.4523112023,47484117.7099746
2,ES.IGN.SIGLIM34081616163,ES,Municipio,34081616163,Portilla,ES4,ES42,ES423,16163,16,Portilla,64,1.94,32.824939,16141,31855.5350557554,56646204.4036212
3,ES.IGN.SIGLIM34081616147,ES,Municipio,34081616147,Pajaroncillo,ES4,ES42,ES423,16147,16,Pajaroncillo,67,1.17,56.924473,16390,40455.3332823164,96944415.6875433
4,ES.IGN.SIGLIM34080202002,ES,Municipio,34080202002,Alatoz,ES4,ES42,ES421,02002,02,Alatoz,529,8.27,63.943819,02152,48006.6174096922,106111360.387273
5,ES.IGN.SIGLIM34080202003,ES,Municipio,34080202003,Albacete,ES4,ES42,ES421,02003,02,Albacete,173050,153.71,1125.773995,02000,321637.265460378,1866355602.31306
6,ES.IGN.SIGLIM34080202004,ES,Municipio,34080202004,Albatana,ES4,ES42,ES421,02004,02,Albatana,693,22.73,30.477337,02653,28796.221718302,49982087.1024557
7,ES.IGN.SIGLIM34080202001,ES,Municipio,34080202001,Abengibre,ES4,ES42,ES421,02001,02,Abengibre,757,24.61,30.756424,02250,32589.1941435205,51326780.130505
8,ES.IGN.SIGLIM34080202005,ES,Municipio,34080202005,Alborea,ES4,ES42,ES421,02005,02,Alborea,650,9.04,71.874218,02215,46993.7260368363,120146188.247795
9,ES.IGN.SIGLIM34080202006,ES,Municipio,34080202006,Alcadozo,ES4,ES42,ES421,02006,02,Alcadozo,655,6.58,99.493418,02124,68844.5661381642,163577684.780159
10,ES.IGN.SIGLIM34080202007,ES,Municipio,34080202007,Alcalá del Júcar,ES4,ES42,ES421,02007,02,Alcalá del Júcar,1199,8.17,146.75124,02210,66481.5880067207,244722270.801241
11,ES.IGN.SIGLIM34080202008,ES,Municipio,34080202008,Alcaraz,ES4,ES42,ES421,02008,02,Alcaraz,1405,3.79,369.904154,02300,370656.362426616,609580182.356961
