,ORIGEN,DESTINO,FLUJO,DIA_SEMANA,ZONA_ORIGEN,ZONA_DESTINO,VOLUMEN
0,Abarán,Albacete,2,Domingo,21,104,1
1,Abarán,Toledo,2,Domingo,21,10,1
2,Acedera,Ciudad Real,2,Viernes,103,104,1
3,Adra,Albacete,2,Domingo,104,104,1
4,Adra,Puerto Lápice,2,Domingo,104,104,1
5,Agost,Carrión de Calatrava,2,Sabado,104,104,1
6,Agost,Hellín,2,Viernes,104,104,1
7,Agudo,Toledo,0,Martes,103,10,1
8,Aguilar de Campoo,Toledo,2,Viernes,10,10,1
9,Agullent,Guadalajara,2,Lunes,12,10,1
10,Ajalvir,Caudete,2,Viernes,10,104,1
11,Ajalvir,Ciudad Real,2,Domingo,10,104,1
12,Ajalvir,Ciudad Real,2,Viernes,10,104,1
13,Alaquàs,Tarancón,2,Domingo,12,10,1
14,Alaquàs,Toledo,2,Viernes,12,10,1
15,Alarcón,Madrid,1,Domingo,14,10,1
16,Alarcón,Madrid,1,Miercoles,14,10,1
17,Albacete,Alange,1,Viernes,104,16,1
18,Albacete,Albaida,1,Domingo,104,12,1
19,Albacete,Albaida,1,Viernes,104,12,2
20,Albacete,Albatera,1,Miercoles,104,22,1
21,Albacete,Alberic,1,Viernes,104,12,2
22,Albacete,Alboraya,1,Domingo,104,12,1
23,Albacete,Alboraya,1,Viernes,104,12,4
24,Albacete,Albox,1,Domingo,104,0,1
25,Albacete,Albox,1,Viernes,104,0,2
26,Albacete,Alcalá de Henares,1,Domingo,104,10,35
27,Albacete,Alcalá de Henares,1,Lunes,104,10,1
28,Albacete,Alcalá de Henares,1,Martes,104,10,1
29,Albacete,Alcalá de Henares,1,Miercoles,104,10,5
30,Albacete,Alcalá de Henares,1,Sabado,104,10,6
31,Albacete,Alcalá de Henares,1,Viernes,104,10,19
32,Albacete,Alcalá del Júcar,0,Sabado,104,13,1
33,Albacete,Alcantarilla,1,Domingo,104,21,5
34,Albacete,Alcantarilla,1,Sabado,104,21,3
35,Albacete,Alcantarilla,1,Viernes,104,21,10
36,Albacete,Alcaraz,0,Jueves,104,104,1
37,Albacete,Alcaraz,0,Miercoles,104,104,1
38,Albacete,Alcaraz,0,Sabado,104,104,2
39,Albacete,Alcaraz,0,Viernes,104,104,2
40,Albacete,Alcobendas,1,Domingo,104,10,13
41,Albacete,Alcobendas,1,Jueves,104,10,1
42,Albacete,Alcobendas,1,Miercoles,104,10,1
43,Albacete,Alcobendas,1,Viernes,104,10,8
44,Albacete,Alcorcón,1,Domingo,104,10,10
45,Albacete,Alcorcón,1,Jueves,104,10,1
46,Albacete,Alcorcón,1,Martes,104,10,1
47,Albacete,Alcorcón,1,Sabado,104,10,5
48,Albacete,Alcorcón,1,Viernes,104,10,8
49,Albacete,Alcázar de San Juan,0,Domingo,104,104,19
50,Albacete,Alcázar de San Juan,0,Jueves,104,104,4
51,Albacete,Alcázar de San Juan,0,Miercoles,104,104,2
52,Albacete,Alcázar de San Juan,0,Sabado,104,104,7
53,Albacete,Alcázar de San Juan,0,Viernes,104,104,32
54,Albacete,Aldaia,1,Domingo,104,12,1
55,Albacete,Algeciras,1,Domingo,104,103,2
56,Albacete,Alguazas,1,Domingo,104,21,2
57,Albacete,Alhama de Murcia,1,Domingo,104,104,2
58,Albacete,Alhama de Murcia,1,Sabado,104,104,2
59,Albacete,Alhama de Murcia,1,Viernes,104,104,4
60,Albacete,Alicante/Alacant,1,Domingo,104,104,103
61,Albacete,Alicante/Alacant,1,Jueves,104,104,11
62,Albacete,Alicante/Alacant,1,Lunes,104,104,6
63,Albacete,Alicante/Alacant,1,Martes,104,104,6
64,Albacete,Alicante/Alacant,1,Miercoles,104,104,11
65,Albacete,Alicante/Alacant,1,Sabado,104,104,100
66,Albacete,Alicante/Alacant,1,Viernes,104,104,102
67,Albacete,Almagro,0,Viernes,104,104,2
68,Albacete,Almansa,0,Domingo,104,104,64
69,Albacete,Almansa,0,Jueves,104,104,8
70,Albacete,Almansa,0,Lunes,104,104,1
71,Albacete,Almansa,0,Martes,104,104,4
72,Albacete,Almansa,0,Miercoles,104,104,9
73,Albacete,Almansa,0,Sabado,104,104,61
74,Albacete,Almansa,0,Viernes,104,104,90
75,Albacete,Almazán,1,Domingo,104,10,1
76,Albacete,Almenara,1,Domingo,104,12,1
77,Albacete,Almenara,1,Viernes,104,12,2
78,Albacete,Almendralejo,1,Viernes,104,103,1
79,Albacete,Almería,1,Domingo,104,1,46
80,Albacete,Almería,1,Jueves,104,1,4
81,Albacete,Almería,1,Lunes,104,1,2
82,Albacete,Almería,1,Martes,104,1,3
83,Albacete,Almería,1,Miercoles,104,1,3
84,Albacete,Almería,1,Sabado,104,1,8
85,Albacete,Almería,1,Viernes,104,1,36
86,Albacete,Alovera,0,Domingo,104,10,1
87,Albacete,Alovera,0,Viernes,104,10,1
88,Albacete,Alpera,0,Domingo,104,104,1
